--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
MOT: Init
MOT: Enable driver.
MOT: Align sensor.
MOT: sensor_direction==CW
MOT: PP check: OK!
MOT: Zero elec. angle: 3.96
MOT: Align current sense.
CS: Inv B
MOT: Success: 3
MOT: Ready.
MOT: Monitor enabled!
ESP32-DRV: Configuring 3PWM in group: 1 on timer: 0
ESP32-DRV: Configuring 2 operators.
ESP32-DRV: Configuring 3 comparators.
ESP32-DRV: Configuring 3 generators.
ESP32-DRV: Configuring center-aligned pwm.
ESP32-DRV: Enabling timer: 0
ESP32-DRV: MCPWM configured!
MOT: Init
MOT: Enable driver.
MOT: Align sensor.
MOT: sensor_direction==CW
MOT: PP check: OK!
MOT: Zero elec. angle: 0.72
MOT: Align current sense.
CS: Inv B
MOT: Success: 3
MOT: Ready.
16944	0.000	0.024	0.006	0.010	2.123	-0.614	0.032	0.004	0.039	3.499	-1.535
16964	0.000	-0.004	-0.008	0.033	2.123	0.000	0.009	0.005	0.011	3.502	0.000
16984	0.000	0.028	0.006	0.102	2.123	-0.614	0.027	0.026	0.024	3.485	-2.454
17004	0.000	-0.014	0.059	0.027	2.134	0.000	0.010	-0.038	0.026	3.510	1.227
17024	0.000	0.009	0.002	0.109	2.123	0.307	0.009	-0.033	0.095	3.496	-0.614
17044	0.000	-0.007	-0.003	0.014	2.135	0.614	0.008	0.030	0.008	3.499	0.000
17064	0.000	0.007	0.008	0.012	2.115	-0.614	0.019	0.017	0.029	3.497	0.000
17084	0.000	0.028	0.001	0.035	2.135	-0.307	0.023	0.014	0.023	3.497	-0.614
17104	0.000	-0.006	0.006	0.013	2.123	-0.307	0.016	-0.023	0.030	3.501	0.307
17124	0.000	-0.011	0.005	0.012	2.126	-0.307	0.019	-0.023	0.033	3.499	0.000
17144	0.000	-0.009	0.006	0.008	2.126	-0.307	0.026	-0.015	0.028	3.499	-0.307
17164	0.000	-0.018	0.009	0.021	2.131	0.920	0.032	-0.014	0.034	3.511	1.534
17184	0.000	-0.009	0.003	0.029	2.118	-0.614	-0.002	0.006	0.032	3.505	-1.534
17204	0.000	-0.007	0.011	0.007	2.126	0.000	-0.001	0.012	0.030	3.504	0.000
17224	0.000	0.017	0.005	0.037	2.123	0.613	0.002	-0.041	0.057	3.502	-0.307
17244	0.000	0.024	0.005	0.015	2.125	-0.306	0.019	0.002	0.021	3.513	0.919
17264	0.000	0.062	0.003	0.043	2.125	0.000	-0.006	-0.031	0.032	3.496	-0.920
17284	0.000	0.243	0.180	0.014	2.131	-0.307	0.033	-0.006	0.036	3.505	0.614
17304	0.000	0.009	0.016	0.020	2.120	0.307	0.015	-0.024	0.058	3.499	-0.614
17324	0.000	-0.012	-0.011	0.023	2.117	0.307	-0.019	-0.019	0.008	3.510	0.614
17344	0.000	0.005	0.029	0.013	2.126	0.307	-0.011	-0.043	0.029	3.494	-0.920
17364	0.000	0.009	0.020	0.021	2.121	0.307	0.009	-0.029	0.024	3.497	0.000
17384	0.000	-0.008	0.014	0.022	2.123	-0.920	-0.033	-0.051	0.034	3.493	-1.227
17404	0.000	0.021	-0.063	0.014	2.126	0.000	0.013	0.014	0.014	3.497	0.614
17424	0.000	0.016	0.012	0.011	2.123	0.614	-0.005	-0.046	0.021	3.490	-1.227
17444	0.000	0.020	0.028	0.015	2.120	0.000	0.017	-0.017	0.083	3.493	0.307
17464	0.000	-0.027	0.004	0.005	2.123	-0.920	0.005	0.088	0.012	3.508	0.307
17484	0.000	0.034	0.004	0.008	2.154	0.614	0.024	-0.028	0.052	3.502	0.307
17504	0.000	0.012	0.013	0.022	2.131	-1.534	0.004	0.000	0.013	3.499	-0.307
17524	0.000	-0.027	-0.021	0.017	2.123	0.613	0.008	0.009	0.259	3.499	-0.307
17544	0.000	0.052	0.018	0.012	2.123	0.000	0.022	-0.021	0.039	3.501	0.000
17564	0.000	-0.004	-0.008	0.022	2.123	0.000	-0.012	-0.081	0.032	3.499	-0.614
17584	0.000	0.018	-0.006	0.014	2.123	0.000	0.041	0.020	0.057	3.504	0.000
17604	0.000	0.013	0.003	0.015	2.123	0.000	0.003	-0.025	0.029	3.501	0.000
17624	0.000	0.014	-0.018	0.014	2.123	0.000	-0.002	-0.004	0.001	3.496	-0.920
17644	0.000	-0.027	-0.000	0.019	2.128	0.613	0.018	0.011	0.008	3.516	1.534
17664	0.000	-0.033	-0.000	0.011	2.128	0.613	0.012	-0.027	0.021	3.499	-1.534
17684	0.000	0.114	0.057	0.024	2.123	0.000	0.000	-0.042	0.032	3.507	0.307
17704	0.000	0.001	-0.020	0.015	2.123	-0.307	-0.006	-0.040	0.037	3.504	0.307
17724	0.000	-0.054	0.008	0.029	2.129	0.307	-0.016	-0.043	0.028	3.508	0.614
17744	0.000	0.015	-0.072	0.054	2.121	0.307	0.008	-0.032	0.034	3.502	0.614
17764	0.000	-0.001	0.009	0.028	2.123	-0.614	-0.020	-0.049	0.063	3.494	-0.920
17784	0.000	0.201	0.102	0.043	2.121	0.614	0.004	-0.009	0.036	3.505	1.534
17804	0.000	0.017	0.030	0.005	2.120	0.307	0.006	-0.005	0.019	3.494	-0.920
