--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
MOT: Init
MOT: Enable driver.
MOT: Align sensor.
MOT: sensor_direction==CW
MOT: PP check: OK!
MOT: Zero elec. angle: 3.95
MOT: Align current sense.
CS: Inv B
MOT: Success: 3
MOT: Ready.
MOT: Monitor enabled!
ESP32-DRV: Configuring 3PWM in group: 1 on timer: 0
ESP32-DRV: Configuring 2 operators.
ESP32-DRV: Configuring 3 comparators.
ESP32-DRV: Configuring 3 generators.
ESP32-DRV: Configuring center-aligned pwm.
ESP32-DRV: Enabling timer: 0
ESP32-DRV: MCPWM configured!
MOT: Init
MOT: Enable driver.
MOT: Align sensor.
MOT: sensor_direction==CW
MOT: PP check: OK!
MOT: Zero elec. angle: 0.65
MOT: Align current sense.
CS: Inv B
MOT: Success: 3
MOT: Ready.
16923	1.000	0.815	0.777	1.150	2.372	33.367	-0.309	1.268	1.359	3.721	36.523
16943	1.000	0.671	0.443	0.886	2.982	33.405	0.949	0.284	0.962	4.439	38.697
16963	1.000	0.578	0.348	0.692	3.672	38.756	0.928	-0.369	0.989	5.194	38.410
16983	1.000	0.755	0.674	1.142	4.383	32.505	0.910	-0.627	1.134	5.932	36.630
17003	1.000	0.828	0.488	0.993	4.863	22.802	-1.052	-0.147	1.067	0.356	37.327
17023	1.000	0.945	0.420	1.004	5.231	18.956	0.860	-0.638	1.077	1.095	37.704
17043	1.000	0.932	0.432	0.989	5.578	19.495	-0.134	1.194	1.253	1.795	36.752
17063	1.000	0.835	0.506	0.998	6.032	25.453	0.533	-0.970	1.107	2.476	34.358
17083	1.000	0.562	0.658	0.858	0.391	38.587	0.579	-0.925	1.110	3.100	34.062
17103	1.000	0.459	0.409	0.653	1.223	44.926	0.817	0.651	1.042	3.774	37.031
17123	1.000	0.696	0.728	0.986	1.990	37.761	0.226	0.997	1.020	4.515	38.462
17143	1.000	0.872	0.608	1.057	2.642	32.366	0.995	0.116	0.987	5.274	39.158
17163	1.000	0.716	0.399	0.817	3.292	35.881	0.930	-0.684	1.194	5.979	36.446
17183	1.000	0.517	0.666	0.827	4.017	37.400	0.973	-0.427	1.098	0.411	37.726
17203	1.000	0.918	0.422	0.980	4.617	28.140	-0.054	-1.185	1.232	1.135	37.063
17223	1.000	0.936	0.424	0.995	5.064	19.368	-0.005	1.008	0.990	1.853	36.339
17243	1.000	0.973	0.393	0.999	5.410	17.772	-0.413	-1.020	1.117	2.520	34.010
17263	1.000	0.891	0.445	0.925	5.794	22.240	-0.268	1.219	1.306	3.143	33.759
17283	1.000	0.713	0.441	0.884	0.041	32.069	1.010	-0.069	1.020	3.835	37.385
17303	1.000	0.445	0.424	0.652	0.848	44.099	0.955	0.415	1.071	4.594	38.644
17323	1.000	0.487	0.388	0.633	1.674	41.483	0.269	1.222	1.295	5.331	38.179
17343	1.000	0.791	0.717	1.071	2.361	33.567	0.291	1.089	1.149	6.019	36.538
17363	1.000	0.694	0.522	0.912	2.976	32.800	0.985	0.184	0.990	0.445	37.355
17383	1.000	0.641	0.545	0.872	3.691	38.779	0.962	-0.402	1.031	1.207	37.508
17403	1.000	0.857	0.781	1.191	4.367	33.463	1.050	-0.518	1.201	1.911	35.529
17423	1.000	0.886	0.492	0.981	4.847	23.417	-0.874	-0.982	1.381	2.560	33.694
17443	1.000	0.887	0.402	0.974	5.219	19.473	0.298	1.081	1.166	3.188	32.738
17463	1.000	0.906	0.348	0.961	5.570	19.583	-0.739	-0.873	1.060	3.869	36.802
17483	1.000	0.880	0.481	0.951	6.002	24.819	0.888	0.385	0.964	4.617	38.135
17503	1.000	0.696	0.579	0.913	0.370	38.431	0.485	-0.911	1.015	5.380	37.858
17523	1.000	0.254	0.159	0.310	1.204	45.108	1.188	0.459	1.336	6.087	36.580
17543	1.000	0.672	0.639	0.923	1.979	38.315	0.321	1.046	1.101	0.511	37.288
17563	1.000	0.873	0.531	0.996	2.638	31.635	1.127	0.471	1.282	1.253	36.737
17583	1.000	0.638	0.507	0.891	3.267	34.648	0.949	-0.481	1.087	1.934	35.888
17603	1.000	0.672	0.553	0.901	3.975	38.041	1.180	0.242	1.259	2.592	32.937
17623	1.000	0.821	0.555	1.027	4.590	28.598	1.095	-0.044	1.133	3.232	34.456
17643	1.000	0.888	0.420	0.998	5.028	20.682	-0.910	-0.487	1.029	3.939	37.993
17663	1.000	0.953	0.348	1.001	5.380	17.601	1.062	-0.569	1.256	4.671	38.722
17683	1.000	0.867	0.440	0.931	5.755	21.388	0.035	1.011	1.007	5.390	38.372
17703	0.000	0.709	0.495	0.913	0.011	31.046	0.766	-0.718	1.042	6.137	36.326
17723	0.000	-0.024	0.020	0.088	6.237	-9.257	-0.094	0.116	0.160	5.858	-22.940
17743	0.000	0.032	0.016	0.014	6.134	-3.930	0.009	-0.020	0.082	5.657	-6.349
17763	0.000	0.004	0.018	0.047	6.105	-0.688	0.007	0.021	0.024	5.594	-2.753
17783	0.000	-0.038	-0.081	0.017	6.101	0.346	0.004	-0.025	0.041	5.573	0.000
17803	0.000	-0.006	-0.000	0.026	6.098	0.297	0.009	0.015	0.025	5.574	-0.297
